FIPS,uv_index
1001,4563
1003,4492
1005,4642
1007,4499
1009,4416
1011,4629
1013,4579
1015,4466
1017,4584
1019,4419
1021,4529
1023,4476
1025,4488
1027,4518
1029,4486
1031,4628
1033,4408
1035,4551
1037,4545
1039,4597
1041,4607
1043,4402
1045,4644
1047,4540
1049,4358
1051,4588
1053,4535
1055,4422
1057,4449
1059,4415
1061,4638
1063,4484
1065,4493
1067,4652
1069,4658
1071,4328
1073,4456
1075,4459
1077,4391
1079,4391
1081,4609
1083,4366
1085,4582
1087,4620
1089,4352
1091,4495
1093,4432
1095,4377
1097,4466
1099,4520
1101,4610
1103,4380
1105,4513
1107,4474
1109,4626
1111,4539
1113,4635
1115,4454
1117,4492
1119,4482
1121,4503
1123,4574
1125,4471
1127,4439
1129,4470
1131,4529
1133,4411
4001,5329
4003,5675
4005,5164
4007,5510
4009,5630
4011,5597
4012,5633
4013,5655
4015,5425
4017,5268
4019,5680
4021,5689
4023,5649
4025,5398
4027,5625
5001,4547
5003,4579
5005,4432
5007,4437
5009,4424
5011,4571
5013,4571
5015,4422
5017,4582
5019,4566
5021,4427
5023,4469
5025,4557
5027,4590
5029,4495
5031,4469
5033,4508
5035,4508
5037,4503
5039,4557
5041,4566
5043,4569
5045,4498
5047,4505
5049,4426
5051,4533
5053,4541
5055,4447
5057,4593
5059,4546
5061,4591
5063,4469
5065,4444
5067,4483
5069,4542
5071,4482
5073,4603
5075,4456
5077,4530
5079,4556
5081,4624
5083,4524
5085,4520
5087,4439
5089,4432
5091,4615
5093,4467
5095,4533
5097,4548
5099,4583
5101,4438
5103,4576
5105,4514
5107,4546
5109,4572
5111,4487
5113,4568
5115,4483
5117,4521
5119,4516
5121,4434
5123,4519
5125,4522
5127,4550
5129,4443
5131,4548
5133,4612
5135,4442
5137,4449
5139,4581
5141,4462
5143,4461
5145,4495
5147,4507
5149,4526
6001,4825
6003,4934
6005,4995
6007,4786
6009,5022
6011,4664
6013,4820
6015,3976
6017,4954
6019,5116
6021,4576
6023,3995
6025,5513
6027,5456
6029,5224
6031,5186
6033,4463
6035,4766
6037,5080
6039,5100
6041,4595
6043,5067
6045,4248
6047,5071
6049,4678
6051,5045
6053,4983
6055,4671
6057,4895
6059,5068
6061,4924
6063,4794
6065,5480
6067,4957
6069,4986
6071,5633
6073,5173
6075,4697
6077,4976
6079,5096
6081,4729
6083,5044
6085,4871
6087,4819
6089,4559
6091,4865
6093,4350
6095,4818
6097,4508
6099,5018
6101,4847
6103,4561
6105,4205
6107,5200
6109,4997
6111,4979
6113,4800
6115,4884
8001,4588
8003,5179
8005,4608
8007,5246
8009,4995
8011,4960
8013,4505
8015,4770
8017,4802
8019,4488
8021,5236
8023,5171
8025,4918
8027,4936
8029,4922
8031,4595
8033,5078
8035,4621
8037,4609
8039,4656
8041,4738
8043,4868
8045,4744
8047,4485
8049,4489
8051,4853
8053,5025
8055,5066
8057,4451
8059,4585
8061,4873
8063,4724
8065,4625
8067,5200
8069,4439
8071,5084
8073,4755
8075,4524
8077,4911
8079,5085
8081,4659
8083,5178
8085,5016
8087,4563
8089,5003
8091,5010
8093,4641
8095,4547
8097,4688
8099,4934
8101,4966
8103,4724
8105,5156
8107,4540
8109,5004
8111,5021
8113,5055
8115,4511
8117,4527
8119,4669
8121,4609
8123,4514
8125,4630
9001,3849
9003,3819
9005,3797
9007,3835
9009,3831
9011,3853
9013,3827
9015,3849
10001,4081
10003,4038
10005,4103
11001,4100
12001,4709
12003,4639
12005,4660
12007,4675
12009,4807
12011,4820
12013,4675
12015,4859
12017,4793
12019,4672
12021,4858
12023,4659
12027,4852
12029,4723
12031,4635
12033,4518
12035,4757
12037,4701
12039,4679
12041,4709
12043,4828
12045,4686
12047,4650
12049,4848
12051,4836
12053,4815
12055,4831
12057,4847
12059,4642
12061,4797
12063,4667
12065,4683
12067,4694
12069,4808
12071,4862
12073,4686
12075,4747
12077,4688
12079,4672
12081,4858
12083,4765
12085,4782
12086,4855
12087,4874
12089,4611
12091,4587
12093,4809
12095,4819
12097,4822
12099,4793
12101,4830
12103,4846
12105,4836
12107,4725
12109,4697
12111,4785
12113,4551
12115,4865
12117,4815
12119,4808
12121,4673
12123,4699
12125,4668
12127,4795
12129,4698
12131,4621
12133,4652
13001,4595
13003,4614
13005,4598
13007,4662
13009,4590
13011,4478
13013,4524
13015,4444
13017,4615
13019,4627
13021,4606
13023,4604
13025,4595
13027,4655
13029,4601
13031,4591
13033,4574
13035,4592
13037,4657
13039,4600
13043,4589
13045,4525
13047,4311
13049,4607
13051,4607
13053,4635
13055,4376
13057,4457
13059,4534
13061,4655
13063,4570
13065,4620
13067,4507
13069,4608
13071,4647
13073,4557
13075,4638
13077,4573
13079,4613
13081,4628
13083,4303
13085,4426
13087,4673
13089,4546
13091,4606
13093,4623
13095,4652
13097,4531
13099,4662
13101,4636
13103,4598
13105,4522
13107,4587
13109,4592
13111,4324
13113,4578
13115,4422
13117,4474
13119,4484
13121,4534
13123,4356
13125,4572
13127,4599
13129,4397
13131,4669
13133,4564
13135,4521
13137,4417
13139,4469
13141,4577
13143,4485
13145,4610
13147,4491
13149,4560
13151,4580
13153,4612
13155,4619
13157,4509
13159,4587
13161,4599
13163,4577
13165,4582
13167,4588
13169,4595
13171,4600
13173,4628
13175,4597
13177,4643
13179,4600
13181,4547
13183,4595
13185,4644
13187,4405
13189,4561
13191,4601
13193,4624
13195,4516
13197,4628
13199,4596
13201,4667
13205,4659
13207,4603
13209,4595
13211,4568
13213,4344
13215,4629
13217,4572
13219,4546
13221,4542
13223,4492
13225,4612
13227,4409
13229,4596
13231,4599
13233,4462
13235,4614
13237,4583
13239,4649
13241,4357
13243,4649
13245,4563
13247,4563
13249,4630
13251,4585
13253,4672
13255,4591
13257,4453
13259,4641
13261,4635
13263,4617
13265,4561
13267,4592
13269,4621
13271,4606
13273,4647
13275,4663
13277,4631
13279,4593
13281,4331
13283,4592
13285,4590
13287,4627
13289,4601
13291,4340
13293,4609
13295,4328
13297,4549
13299,4607
13301,4565
13303,4584
13305,4593
13307,4639
13309,4599
13311,4400
13313,4335
13315,4617
13317,4548
13319,4596
13321,4639
16001,4413
16003,4114
16005,4336
16007,4393
16009,3808
16011,4288
16013,4221
16015,4232
16017,3675
16019,4280
16021,3589
16023,4177
16025,4234
16027,4414
16029,4338
16031,4372
16033,4119
16035,3804
16037,4065
16039,4331
16041,4402
16043,4182
16045,4305
16047,4371
16049,3897
16051,4226
16053,4379
16055,3762
16057,3869
16059,3969
16061,3921
16063,4327
16065,4245
16067,4334
16069,3949
16071,4380
16073,4443
16075,4351
16077,4329
16079,3712
16081,4250
16083,4406
16085,4056
16087,4236
17001,4180
17003,4335
17005,4222
17007,3899
17009,4168
17011,3971
17013,4226
17015,3940
17017,4159
17019,4065
17021,4175
17023,4141
17025,4207
17027,4240
17029,4134
17031,3881
17033,4168
17035,4159
17037,3910
17039,4088
17041,4109
17043,3889
17045,4105
17047,4215
17049,4187
17051,4205
17053,4008
17055,4268
17057,4097
17059,4261
17061,4209
17063,3945
17065,4251
17067,4137
17069,4275
17071,4082
17073,3995
17075,3978
17077,4292
17079,4178
17081,4247
17083,4222
17085,3931
17087,4299
17089,3897
17091,3934
17093,3919
17095,4039
17097,3878
17099,3956
17101,4187
17103,3936
17105,3988
17107,4119
17109,4112
17111,3889
17113,4045
17115,4129
17117,4206
17119,4230
17121,4224
17123,4000
17125,4122
17127,4313
17129,4146
17131,4032
17133,4269
17135,4201
17137,4180
17139,4137
17141,3921
17143,4041
17145,4271
17147,4095
17149,4203
17151,4291
17153,4328
17155,3983
17157,4281
17159,4197
17161,4002
17163,4253
17165,4272
17167,4169
17169,4146
17171,4191
17173,4168
17175,4007
17177,3920
17179,4071
17181,4309
17183,4046
17185,4206
17187,4064
17189,4254
17191,4226
17193,4240
17195,3959
17197,3911
17199,4284
17201,3909
17203,4022
18001,3895
18003,3865
18005,4090
18007,3977
18009,3927
18011,4032
18013,4108
18015,3961
18017,3926
18019,4107
18021,4123
18023,3997
18025,4155
18027,4168
18029,4021
18031,4050
18033,3843
18035,3957
18037,4175
18039,3823
18041,4001
18043,4121
18045,4044
18047,4010
18049,3883
18051,4205
18053,3934
18055,4145
18057,4015
18059,4028
18061,4139
18063,4071
18065,3987
18067,3957
18069,3891
18071,4112
18073,3919
18075,3922
18077,4073
18079,4079
18081,4084
18083,4180
18085,3851
18087,3821
18089,3888
18091,3849
18093,4137
18095,3983
18097,4059
18099,3850
18101,4157
18103,3914
18105,4123
18107,4045
18109,4101
18111,3937
18113,3835
18115,4033
18117,4148
18119,4123
18121,4086
18123,4175
18125,4187
18127,3871
18129,4232
18131,3900
18133,4090
18135,3945
18137,4041
18139,4022
18141,3826
18143,4102
18145,4060
18147,4198
18149,3870
18151,3826
18153,4154
18155,4042
18157,3999
18159,3980
18161,3986
18163,4220
18165,4081
18167,4126
18169,3897
18171,4014
18173,4205
18175,4123
18177,3971
18179,3897
18181,3946
18183,3857
19001,4134
19003,4161
19005,3888
19007,4159
19009,4112
19011,3997
19013,3970
19015,4077
19017,3941
19019,3952
19021,4045
19023,3969
19025,4062
19027,4088
19029,4142
19031,3994
19033,3964
19035,4057
19037,3914
19039,4155
19041,4023
19043,3916
19045,3967
19047,4098
19049,4110
19051,4146
19053,4177
19055,3941
19057,4081
19059,4003
19061,3933
19063,3995
19065,3918
19067,3940
19069,3990
19071,4208
19073,4086
19075,3997
19077,4111
19079,4040
19081,3986
19083,4020
19085,4144
19087,4090
19089,3888
19091,4026
19093,4077
19095,4037
19097,3949
19099,4080
19101,4101
19103,4022
19105,3964
19107,4079
19109,3996
19111,4125
19113,3983
19115,4055
19117,4147
19119,4042
19121,4134
19123,4098
19125,4117
19127,4042
19129,4186
19131,3913
19133,4123
19135,4134
19137,4170
19139,4022
19141,4034
19143,4015
19145,4193
19147,4014
19149,4084
19151,4038
19153,4100
19155,4159
19157,4055
19159,4179
19161,4068
19163,3988
19165,4122
19167,4059
19169,4063
19171,4016
19173,4183
19175,4156
19177,4131
19179,4120
19181,4130
19183,4060
19185,4169
19187,4050
19189,3965
19191,3886
19193,4100
19195,3941
19197,4012
20001,4360
20003,4340
20005,4271
20007,4753
20009,4664
20011,4354
20013,4261
20015,4471
20017,4413
20019,4464
20021,4395
20023,4669
20025,4876
20027,4415
20029,4460
20031,4355
20033,4823
20035,4511
20037,4373
20039,4638
20041,4445
20043,4255
20045,4305
20047,4777
20049,4440
20051,4684
20053,4581
20055,4873
20057,4848
20059,4322
20061,4391
20063,4763
20065,4673
20067,4937
20069,4883
20071,4853
20073,4411
20075,4912
20077,4678
20079,4527
20081,4916
20083,4821
20085,4291
20087,4287
20089,4496
20091,4300
20093,4898
20095,4655
20097,4796
20099,4405
20101,4813
20103,4287
20105,4559
20107,4335
20109,4788
20111,4367
20113,4533
20115,4465
20117,4322
20119,4913
20121,4316
20123,4532
20125,4427
20127,4394
20129,4979
20131,4282
20133,4381
20135,4782
20137,4616
20139,4330
20141,4590
20143,4486
20145,4746
20147,4588
20149,4331
20151,4725
20153,4656
20155,4620
20157,4433
20159,4606
20161,4372
20163,4637
20165,4723
20167,4630
20169,4511
20171,4833
20173,4557
20175,4940
20177,4312
20179,4699
20181,4731
20183,4548
20185,4696
20187,4954
20189,4959
20191,4595
20193,4719
20195,4728
20197,4341
20199,4797
20201,4376
20203,4845
20205,4402
20207,4378
20209,4291
21001,4138
21003,4210
21005,4080
21007,4335
21009,4183
21011,3998
21013,4099
21015,4015
21017,4021
21019,3939
21021,4088
21023,3987
21025,4029
21027,4175
21029,4126
21031,4218
21033,4281
21035,4332
21037,3995
21039,4348
21041,4060
21043,3951
21045,4106
21047,4276
21049,4032
21051,4070
21053,4151
21055,4279
21057,4163
21059,4215
21061,4190
21063,3969
21065,4042
21067,4044
21069,3979
21071,4018
21073,4063
21075,4379
21077,4038
21079,4072
21081,4023
21083,4343
21085,4184
21087,4147
21089,3930
21091,4194
21093,4149
21095,4068
21097,4016
21099,4163
21101,4233
21103,4066
21105,4362
21107,4258
21109,4055
21111,4116
21113,4062
21115,3990
21117,4003
21119,4032
21121,4097
21123,4139
21125,4087
21127,3968
21129,4038
21131,4062
21133,4047
21135,3950
21137,4085
21139,4300
21141,4246
21143,4301
21145,4325
21147,4126
21149,4234
21151,4055
21153,4004
21155,4117
21157,4320
21159,3992
21161,3973
21163,4155
21165,4001
21167,4082
21169,4161
21171,4181
21173,4014
21175,3990
21177,4243
21179,4119
21181,4001
21183,4215
21185,4091
21187,4045
21189,4050
21191,4005
21193,4049
21195,4024
21197,4026
21199,4105
21201,3995
21203,4073
21205,3973
21207,4134
21209,4039
21211,4081
21213,4234
21215,4101
21217,4128
21219,4262
21221,4303
21223,4074
21225,4256
21227,4213
21229,4103
21231,4133
21233,4252
21235,4117
21237,4013
21239,4064
22001,4562
22003,4585
22005,4511
22007,4518
22009,4551
22011,4597
22013,4594
22015,4610
22017,4622
22019,4589
22021,4578
22023,4571
22025,4564
22027,4589
22029,4552
22031,4618
22033,4503
22035,4587
22037,4507
22039,4565
22041,4576
22043,4582
22045,4528
22047,4511
22049,4584
22051,4536
22053,4581
22055,4541
22057,4536
22059,4571
22061,4586
22063,4512
22065,4583
22067,4583
22069,4599
22071,4528
22073,4583
22075,4536
22077,4522
22079,4576
22081,4606
22083,4582
22085,4611
22087,4525
22089,4534
22091,4510
22093,4519
22095,4524
22097,4541
22099,4524
22101,4525
22103,4517
22105,4516
22107,4572
22109,4533
22111,4583
22113,4552
22115,4596
22117,4513
22119,4600
22121,4506
22123,4585
22125,4517
22127,4586
23001,3850
23003,3583
23005,3874
23007,3747
23009,3762
23011,3826
23013,3832
23015,3849
23017,3798
23019,3707
23021,3665
23023,3863
23025,3705
23027,3801
23029,3715
23031,3893
24001,3894
24003,4083
24005,4025
24009,4121
24011,4095
24013,4007
24015,4032
24017,4135
24019,4119
24021,4018
24023,3807
24025,4021
24027,4051
24029,4067
24031,4069
24033,4102
24035,4081
24037,4138
24039,4131
24041,4102
24043,3983
24045,4119
24047,4123
24510,4049
25001,3923
25003,3771
25005,3898
25007,3917
25009,3913
25011,3808
25013,3812
25015,3807
25017,3894
25019,3935
25021,3897
25023,3911
25025,3908
25027,3853
26001,3704
26003,3608
26005,3808
26007,3706
26009,3652
26011,3706
26013,3591
26015,3789
26017,3714
26019,3684
26021,3819
26023,3812
26025,3797
26027,3809
26029,3653
26031,3672
26033,3654
26035,3695
26037,3754
26039,3665
26041,3642
26043,3643
26045,3778
26047,3654
26049,3732
26051,3701
26053,3640
26055,3663
26057,3736
26059,3820
26061,3587
26063,3716
26065,3770
26067,3769
26069,3705
26071,3628
26073,3720
26075,3797
26077,3801
26079,3657
26081,3784
26083,3537
26085,3724
26087,3728
26089,3661
26091,3835
26093,3763
26095,3618
26097,3642
26099,3755
26101,3711
26103,3602
26105,3754
26107,3731
26109,3683
26111,3717
26113,3671
26115,3832
26117,3749
26119,3684
26121,3804
26123,3762
26125,3753
26127,3783
26129,3689
26131,3619
26133,3699
26135,3682
26137,3659
26139,3809
26141,3694
26143,3677
26145,3726
26147,3739
26149,3810
26151,3722
26153,3620
26155,3743
26157,3718
26159,3809
26161,3798
26163,3792
26165,3678
27001,3748
27003,3854
27005,3770
27007,3658
27009,3835
27011,3921
27013,3946
27015,3953
27017,3737
27019,3896
27021,3732
27023,3924
27025,3825
27027,3817
27029,3704
27031,3544
27033,3969
27035,3771
27037,3874
27039,3873
27041,3845
27043,3959
27045,3861
27047,3925
27049,3857
27051,3870
27053,3877
27055,3864
27057,3730
27059,3834
27061,3665
27063,3986
27065,3803
27067,3896
27069,3666
27071,3598
27073,3944
27075,3599
27077,3587
27079,3916
27081,3968
27083,3965
27085,3905
27087,3745
27089,3684
27091,3976
27093,3888
27095,3808
27097,3814
27099,3885
27101,3978
27103,3934
27105,4000
27107,3781
27109,3851
27111,3817
27113,3695
27115,3775
27117,3993
27119,3739
27121,3874
27123,3862
27125,3715
27127,3955
27129,3927
27131,3893
27133,4022
27135,3622
27137,3633
27139,3899
27141,3854
27143,3920
27145,3857
27147,3899
27149,3895
27151,3909
27153,3821
27155,3900
27157,3837
27159,3780
27161,3923
27163,3848
27165,3963
27167,3858
27169,3841
27171,3876
27173,3952
28001,4544
28003,4444
28005,4520
28007,4541
28009,4479
28011,4570
28013,4518
28015,4556
28017,4497
28019,4517
28021,4569
28023,4475
28025,4495
28027,4554
28029,4559
28031,4513
28033,4517
28035,4488
28037,4537
28039,4464
28041,4465
28043,4546
28045,4504
28047,4486
28049,4579
28051,4571
28053,4586
28055,4589
28057,4456
28059,4471
28061,4494
28063,4554
28065,4524
28067,4491
28069,4485
28071,4514
28073,4499
28075,4478
28077,4536
28079,4538
28081,4474
28083,4572
28085,4537
28087,4483
28089,4573
28091,4515
28093,4499
28095,4475
28097,4539
28099,4506
28101,4501
28103,4489
28105,4500
28107,4535
28109,4501
28111,4477
28113,4521
28115,4493
28117,4452
28119,4551
28121,4562
28123,4535
28125,4590
28127,4545
28129,4522
28131,4480
28133,4575
28135,4557
28137,4525
28139,4465
28141,4429
28143,4536
28145,4483
28147,4517
28149,4583
28151,4584
28153,4471
28155,4518
28157,4525
28159,4504
28161,4535
28163,4586
29001,4205
29003,4240
29005,4223
29007,4274
29009,4401
29011,4367
29013,4333
29015,4340
29017,4337
29019,4309
29021,4261
29023,4400
29025,4261
29027,4307
29029,4353
29031,4328
29033,4282
29035,4383
29037,4313
29039,4357
29041,4277
29043,4383
29045,4160
29047,4281
29049,4262
29051,4339
29053,4323
29055,4321
29057,4366
29059,4357
29061,4241
29063,4244
29065,4342
29067,4388
29069,4430
29071,4291
29073,4309
29075,4224
29077,4369
29079,4229
29081,4210
29083,4332
29085,4350
29087,4240
29089,4304
29091,4395
29093,4325
29095,4297
29097,4383
29099,4277
29101,4315
29103,4202
29105,4358
29107,4300
29109,4378
29111,4192
29113,4245
29115,4246
29117,4256
29119,4419
29121,4241
29123,4327
29125,4337
29127,4217
29129,4201
29131,4349
29133,4364
29135,4333
29137,4259
29139,4277
29141,4338
29143,4393
29145,4398
29147,4215
29149,4405
29151,4327
29153,4409
29155,4427
29157,4304
29159,4322
29161,4342
29163,4234
29165,4277
29167,4359
29169,4354
29171,4186
29173,4237
29175,4276
29177,4281
29179,4348
29181,4407
29183,4251
29185,4346
29186,4294
29187,4301
29189,4249
29195,4303
29197,4176
29199,4169
29201,4354
29203,4370
29205,4232
29207,4379
29209,4400
29211,4213
29213,4409
29215,4363
29217,4353
29219,4272
29221,4304
29223,4365
29225,4364
29227,4202
29229,4367
29510,4245
30001,3961
30003,4142
